,board_size,depth,alphabeta,steps,victory_chance,execution_time,board_size_mult
0,"(6, 7)",1,False,3,1.0,0.03971147537231445,42
1,"(6, 7)",3,False,3,0.6666666666666666,1.4589056968688965,42
2,"(6, 7)",5,False,3,1.0,47.27308416366577,42
3,"(7, 8)",1,False,3,0.6666666666666666,0.043050289154052734,56
4,"(7, 8)",3,False,3,1.0,2.728847026824951,56
5,"(7, 8)",5,False,3,1.0,136.60592222213745,56
6,"(7, 10)",1,False,3,0.6666666666666666,0.07495546340942383,70
7,"(7, 10)",3,False,3,1.0,6.2156147956848145,70
8,"(7, 10)",5,False,3,1.0,569.8818950653076,70
9,"(6, 7)",1,True,3,0.6666666666666666,0.0529179573059082,42
10,"(6, 7)",3,True,3,1.0,0.43953967094421387,42
11,"(6, 7)",5,True,3,1.0,6.548993349075317,42
12,"(6, 7)",7,True,3,1.0,93.30747938156128,42
13,"(7, 8)",1,True,3,0.6666666666666666,0.03943681716918945,56
14,"(7, 8)",3,True,3,1.0,0.6098015308380127,56
15,"(7, 8)",5,True,3,1.0,11.134180784225464,56
16,"(7, 8)",7,True,3,1.0,172.93359065055847,56
17,"(7, 10)",1,True,3,0.6666666666666666,0.05987286567687988,70
18,"(7, 10)",3,True,3,1.0,2.212001085281372,70
19,"(7, 10)",5,True,3,1.0,22.833808422088623,70
20,"(7, 10)",7,True,3,1.0,535.4146728515625,70
